Store #,Store Partner,Contact ,Email  ,Phone Number
1523,Verizon Fios Internet,Shannon Rivers ,shannon.rivers@verizonwireless.com ,678-628-2521 
1524,Verizon Fios Internet,Shannon Rivers ,shannon.rivers@verizonwireless.com ,678-628-2521 
1525,Verizon Fios Internet,Shannon Rivers ,shannon.rivers@verizonwireless.com ,678-628-2521 
1591,Verizon Fios Internet,Shannon Rivers ,shannon.rivers@verizonwireless.com ,678-628-2521 
1631,Verizon Fios Internet,Shannon Rivers ,shannon.rivers@verizonwireless.com ,678-628-2521 
1682,Verizon Fios Internet,Shannon Rivers ,shannon.rivers@verizonwireless.com ,678-628-2521 
1688,Verizon Fios Internet,Shannon Rivers ,shannon.rivers@verizonwireless.com ,678-628-2521 
1717,Verizon Fios Internet,Shannon Rivers ,shannon.rivers@verizonwireless.com ,678-628-2521 
1736,Verizon Fios Internet,Shannon Rivers ,shannon.rivers@verizonwireless.com ,678-628-2521 
1742,Verizon Fios Internet,Shannon Rivers ,shannon.rivers@verizonwireless.com ,678-628-2521 
1773,Verizon Fios Internet,Shannon Rivers ,shannon.rivers@verizonwireless.com ,678-628-2521 
1807,Verizon Fios Internet,Shannon Rivers ,shannon.rivers@verizonwireless.com ,678-628-2521 
1810,Verizon Fios Internet,Shannon Rivers ,shannon.rivers@verizonwireless.com ,678-628-2521 
1811,Verizon Fios Internet,Shannon Rivers ,shannon.rivers@verizonwireless.com ,678-628-2521 
1825,Verizon Fios Internet,Shannon Rivers ,shannon.rivers@verizonwireless.com ,678-628-2521 
1830,Verizon Fios Internet,Shannon Rivers ,shannon.rivers@verizonwireless.com ,678-628-2521 
1831,Verizon Fios Internet,Shannon Rivers ,shannon.rivers@verizonwireless.com ,678-628-2521 
1833,Verizon Fios Internet,Shannon Rivers ,shannon.rivers@verizonwireless.com ,678-628-2521 
1841,Verizon Fios Internet,Shannon Rivers ,shannon.rivers@verizonwireless.com ,678-628-2521 
1844,Verizon Fios Internet,Shannon Rivers ,shannon.rivers@verizonwireless.com ,678-628-2521 
1852,Verizon Fios Internet,Shannon Rivers ,shannon.rivers@verizonwireless.com ,678-628-2521 
1860,Verizon Fios Internet,Shannon Rivers ,shannon.rivers@verizonwireless.com ,678-628-2521 
1869,Verizon Fios Internet,Shannon Rivers ,shannon.rivers@verizonwireless.com ,678-628-2521 
1873,Verizon Fios Internet,Shannon Rivers ,shannon.rivers@verizonwireless.com ,678-628-2521 
1875,Verizon Fios Internet,Shannon Rivers ,shannon.rivers@verizonwireless.com ,678-628-2521 
1886,Verizon Fios Internet,Shannon Rivers ,shannon.rivers@verizonwireless.com ,678-628-2521 
1893,Verizon Fios Internet,Shannon Rivers ,shannon.rivers@verizonwireless.com ,678-628-2521 
1904,Verizon Fios Internet,Shannon Rivers ,shannon.rivers@verizonwireless.com ,678-628-2521 
1918,Verizon Fios Internet,Shannon Rivers ,shannon.rivers@verizonwireless.com ,678-628-2521 
1964,Verizon Fios Internet,Shannon Rivers ,shannon.rivers@verizonwireless.com ,678-628-2521 
1968,Verizon Fios Internet,Shannon Rivers ,shannon.rivers@verizonwireless.com ,678-628-2521 
1969,Verizon Fios Internet,Shannon Rivers ,shannon.rivers@verizonwireless.com ,678-628-2521 
1970,Verizon Fios Internet,Shannon Rivers ,shannon.rivers@verizonwireless.com ,678-628-2521 
1977,Verizon Fios Internet,Shannon Rivers ,shannon.rivers@verizonwireless.com ,678-628-2521 
1985,Verizon Fios Internet,Shannon Rivers ,shannon.rivers@verizonwireless.com ,678-628-2521 
1994,Verizon Fios Internet,Shannon Rivers ,shannon.rivers@verizonwireless.com ,678-628-2521 
1997,Verizon Fios Internet,Shannon Rivers ,shannon.rivers@verizonwireless.com ,678-628-2521 
2003,Verizon Fios Internet,Shannon Rivers ,shannon.rivers@verizonwireless.com ,678-628-2521 
2009,Verizon Fios Internet,Shannon Rivers ,shannon.rivers@verizonwireless.com ,678-628-2521 
2015,Verizon Fios Internet,Shannon Rivers ,shannon.rivers@verizonwireless.com ,678-628-2521 
2021,Verizon Fios Internet,Shannon Rivers ,shannon.rivers@verizonwireless.com ,678-628-2521 
2023,Verizon Fios Internet,Shannon Rivers ,shannon.rivers@verizonwireless.com ,678-628-2521 
2038,Verizon Fios Internet,Shannon Rivers ,shannon.rivers@verizonwireless.com ,678-628-2521 
2040,Verizon Fios Internet,Shannon Rivers ,shannon.rivers@verizonwireless.com ,678-628-2521 
2041,Verizon Fios Internet,Shannon Rivers ,shannon.rivers@verizonwireless.com ,678-628-2521 
2045,Verizon Fios Internet,Shannon Rivers ,shannon.rivers@verizonwireless.com ,678-628-2521 
2068,Verizon Fios Internet,Shannon Rivers ,shannon.rivers@verizonwireless.com ,678-628-2521 
2095,Verizon Fios Internet,Shannon Rivers ,shannon.rivers@verizonwireless.com ,678-628-2521 
2096,Verizon Fios Internet,Shannon Rivers ,shannon.rivers@verizonwireless.com ,678-628-2521 
2103,Verizon Fios Internet,Shannon Rivers ,shannon.rivers@verizonwireless.com ,678-628-2521 
2104,Verizon Fios Internet,Shannon Rivers ,shannon.rivers@verizonwireless.com ,678-628-2521 
2108,Verizon Fios Internet,Shannon Rivers ,shannon.rivers@verizonwireless.com ,678-628-2521 
2109,Verizon Fios Internet,Shannon Rivers ,shannon.rivers@verizonwireless.com ,678-628-2521 
2118,Verizon Fios Internet,Shannon Rivers ,shannon.rivers@verizonwireless.com ,678-628-2521 
2136,Verizon Fios Internet,Shannon Rivers ,shannon.rivers@verizonwireless.com ,678-628-2521 
2139,Verizon Fios Internet,Shannon Rivers ,shannon.rivers@verizonwireless.com ,678-628-2521 
2141,Verizon Fios Internet,Shannon Rivers ,shannon.rivers@verizonwireless.com ,678-628-2521 
2145,Verizon Fios Internet,Shannon Rivers ,shannon.rivers@verizonwireless.com ,678-628-2521 
2152,Verizon Fios Internet,Shannon Rivers ,shannon.rivers@verizonwireless.com ,678-628-2521 
2158,Verizon Fios Internet,Shannon Rivers ,shannon.rivers@verizonwireless.com ,678-628-2521 
2166,Verizon Fios Internet,Shannon Rivers ,shannon.rivers@verizonwireless.com ,678-628-2521 
2180,Verizon Fios Internet,Shannon Rivers ,shannon.rivers@verizonwireless.com ,678-628-2521 
2184,Verizon Fios Internet,Shannon Rivers ,shannon.rivers@verizonwireless.com ,678-628-2521 
2194,Verizon Fios Internet,Shannon Rivers ,shannon.rivers@verizonwireless.com ,678-628-2521 
2195,Verizon Fios Internet,Shannon Rivers ,shannon.rivers@verizonwireless.com ,678-628-2521 
2210,Verizon Fios Internet,Shannon Rivers ,shannon.rivers@verizonwireless.com ,678-628-2521 
2222,Verizon Fios Internet,Shannon Rivers ,shannon.rivers@verizonwireless.com ,678-628-2521 
2225,Verizon Fios Internet,Shannon Rivers ,shannon.rivers@verizonwireless.com ,678-628-2521 
2227,Verizon Fios Internet,Shannon Rivers ,shannon.rivers@verizonwireless.com ,678-628-2521 
2236,Verizon Fios Internet,Shannon Rivers ,shannon.rivers@verizonwireless.com ,678-628-2521 
2248,Verizon Fios Internet,Shannon Rivers ,shannon.rivers@verizonwireless.com ,678-628-2521 
2258,Verizon Fios Internet,Shannon Rivers ,shannon.rivers@verizonwireless.com ,678-628-2521 
2261,Verizon Fios Internet,Shannon Rivers ,shannon.rivers@verizonwireless.com ,678-628-2521 
2263,Verizon Fios Internet,Shannon Rivers ,shannon.rivers@verizonwireless.com ,678-628-2521 
2264,Verizon Fios Internet,Shannon Rivers ,shannon.rivers@verizonwireless.com ,678-628-2521 
2279,Verizon Fios Internet,Shannon Rivers ,shannon.rivers@verizonwireless.com ,678-628-2521 
2281,Verizon Fios Internet,Shannon Rivers ,shannon.rivers@verizonwireless.com ,678-628-2521 
2283,Verizon Fios Internet,Shannon Rivers ,shannon.rivers@verizonwireless.com ,678-628-2521 
2286,Verizon Fios Internet,Shannon Rivers ,shannon.rivers@verizonwireless.com ,678-628-2521 
2295,Verizon Fios Internet,Shannon Rivers ,shannon.rivers@verizonwireless.com ,678-628-2521 
2300,Verizon Fios Internet,Shannon Rivers ,shannon.rivers@verizonwireless.com ,678-628-2521 
2336,Verizon Fios Internet,Shannon Rivers ,shannon.rivers@verizonwireless.com ,678-628-2521 
2341,Verizon Fios Internet,Shannon Rivers ,shannon.rivers@verizonwireless.com ,678-628-2521 
2355,Verizon Fios Internet,Shannon Rivers ,shannon.rivers@verizonwireless.com ,678-628-2521 
2357,Verizon Fios Internet,Shannon Rivers ,shannon.rivers@verizonwireless.com ,678-628-2521 
2366,Verizon Fios Internet,Shannon Rivers ,shannon.rivers@verizonwireless.com ,678-628-2521 
2373,Verizon Fios Internet,Shannon Rivers ,shannon.rivers@verizonwireless.com ,678-628-2521 
2405,Verizon Fios Internet,Shannon Rivers ,shannon.rivers@verizonwireless.com ,678-628-2521 
2412,Verizon Fios Internet,Shannon Rivers ,shannon.rivers@verizonwireless.com ,678-628-2521 
2438,Verizon Fios Internet,Shannon Rivers ,shannon.rivers@verizonwireless.com ,678-628-2521 
2445,Verizon Fios Internet,Shannon Rivers ,shannon.rivers@verizonwireless.com ,678-628-2521 
2446,Verizon Fios Internet,Shannon Rivers ,shannon.rivers@verizonwireless.com ,678-628-2521 
2518,Verizon Fios Internet,Shannon Rivers ,shannon.rivers@verizonwireless.com ,678-628-2521 
